Category,Nstaff,N4,N3,N2,N1,N0,REFtot
Aberystwyth University,70.21,989.9609999999999,3700.067,2000.985,84.252,245.73499999999999,7659.911
Anglia Ruskin University,32.25,213.43,1864.3799999999999,922.345,67.52,157.325,2718.1
Aston University,56.8,1840.32,3419.36,369.2,0,51.12,10780.64
Bangor University,51.8,1451.1,2649.2200000000003,938.6999999999999,77.28,63.699999999999996,8453.619999999999
Birkbeck College,49.55,1871.6350000000002,2145.665,768.465,125.35499999999999,43.88,9632.205000000002
Birmingham City University,12.1,24.2,642.51,370.26,99.21999999999998,73.80999999999999,739.31
Bournemouth University,34.4,482.79999999999995,1523.36,1221.98,158.35999999999999,53.5,3454.5599999999995
Brunel University London,83.5,1113.55,3463.95,3002.81,720.25,49.440000000000005,7918.15
Buckinghamshire New University,7.1,22.009999999999998,244.23999999999998,244.23999999999998,132.76999999999998,66.74,332.28
Canterbury Christ Church University,26.4,165.66,1115.42,1271.1,87.82,0,1778.06
Cardiff Metropolitan University,12,133.2,800.4000000000001,266.4,0,0,1333.2
Cardiff University,282.28,8886.850999999999,15225.827000000001,3702.209,242.11700000000002,170.99599999999998,50773.231
City University London,95.6,1399.2399999999998,5345.5999999999995,2235.2,406.91999999999996,173.03999999999996,10942.559999999998
Coventry University,31.6,494.48,1691.8400000000001,836.48,137.20000000000002,0,3669.76
Cranfield University,26.3,126.24,1364.97,1088.82,49.97,0,1869.93
De Montfort University,31.4,251.2,1234.0199999999998,1460.1,166.42,28.259999999999998,2238.8199999999997
Edge Hill University,23.299999999999997,320.23,833.6700000000001,978.5,197.6,0,2114.59
Edinburgh Napier University,22.2,313.02,1305.36,548.3399999999999,0,53.279999999999994,2557.4399999999996
Glasgow Caledonian University,44.3,881.5699999999999,2768.75,704.37,26.58,48.730000000000004,6295.03
Glyndŵr University,9.4,19.740000000000002,100.58,539.5600000000001,280.12,0,179.54000000000002
Goldsmiths' College,33.3,609.39,1794.87,809.1899999999999,29.97,86.58,4232.43
Harper Adams University,17,117.30000000000001,804.0999999999999,778.5999999999999,0,0,1273.3
Heriot-Watt University,22.1,235.49,821.84,1050.18,76.03,26.46,1763.8000000000002
Imperial College London,532.66,16474.013,27183.92,8659.657,615.5690000000001,332.841,93079.972
Institute of Cancer Research,103.09,3635.8280000000004,5359.133,1196.586,27.636000000000003,89.81700000000001,19902.445
Keele University,80.08,1509.118,4278.112,1968.014,199.98,52.775999999999996,10314.583999999999
King's College London,660.28,18085.628,37148.2,9671.903,470.307,651.962,109490.712
Kingston University,27.22,324.466,1536.142,716.2839999999999,121,24.107999999999997,2834.0060000000003
Lancaster University,86.10000000000001,2301.25,4629.31,1556.73,90.16,32.55,13834.310000000001
Leeds Beckett University,34.6,53.66,682.2,1423.2200000000003,1154.02,146.9,896.84
Liverpool Hope University,10.8,25.92,333.72,617.7600000000001,102.60000000000001,0,437.40000000000003
Liverpool John Moores University,44.2,604.6700000000001,1934.81,1727.77,121.69999999999999,31.05,4353.49
Liverpool School of Tropical Medicine,35.2,643.22,1878.1399999999999,936.28,40.66,21.7,4451.02
London Metropolitan University,11,160.6,536.8,348.7,53.900000000000006,0,1179.1999999999998
London School of Hygiene & Tropical Medicine,313.66,6191.772000000001,15448.028000000002,8953.932,592.838,179.43,40215.11600000001
London South Bank University,24.4,165.36,1134.38,972.3800000000001,167.88000000000002,0,1795.8200000000002
Manchester Metropolitan University,61.4,564.88,3229.64,2106.02,128.94,110.52,5489.16
Middlesex University,27.9,249.43,1374.19,1090.2,52.5,23.680000000000003,2371.91
Newcastle University,300.93,6757.978999999999,15809.05,6926.168,446.542,153.261,42840.966
Newman University,3,NA,NA,NA,NA,NA,NA
Nottingham Trent University,45.6,981.0799999999999,2261.26,1258.8,28.340000000000003,30.52,6185.58
Open University,17,375.70000000000005,924.8,374,25.5,0,2427.6000000000004
Oxford Brookes University,50.5,626.22,2343.27,1909.3200000000002,140.58999999999997,30.599999999999998,4848.15
Queen Margaret University Edinburgh,14.2,56.58,439.5,843.84,80.07999999999998,0,665.8199999999999
Queen Mary University of London,220.31,6166.871000000001,12848.760000000002,2810.097,86.498,118.774,37516.244000000006
Queen's University Belfast,213.53,3629.491,10885.331,6567.407999999999,106.85,163.92,25403.295
Robert Gordon University,13.5,162,611.55,540,36.45,0,1259.55
Roehampton University,24.4,368.76,1255.72,755.0400000000001,60.480000000000004,0,2730.76
Royal Agricultural University,12,51.599999999999994,75.6,511.20000000000005,408,153.60000000000002,282
"Royal Holloway, University of London",47.25,1408.875,2496.375,759.75,60,0,8131.875
Royal Veterinary College,103.49,1800.7259999999997,5722.996999999999,2504.4579999999996,320.819,0,12925.900999999998
Sheffield Hallam University,38.95,519.935,1824.895,1459.69,90.47999999999999,0,3904.6349999999998
SRUC,57.37,1015.449,2742.2859999999996,1830.1029999999998,120.477,28.685,6804.081999999999
"St.George's, University of London",55.67,1301.018,2661.3450000000003,1550.409,54.228,0,7865.417
Staffordshire University,13.8,33.12,262.2,789.3600000000001,229.08000000000004,66.24,394.67999999999995
Swansea University,73.9,2321.2200000000003,3872.73,1091.47,77.64,26.939999999999998,13157.61
Teesside University,16,120,787.2,620.8,72,0,1267.2
The University of West London,14.7,116.13,467.46,536.55,349.86,0,931.98
University College London,1150.02,29095.675,55294.263999999996,27168.556,2435.464,1008.041,171676.96399999998
University of Aberdeen,232.22,4926.4,12329.104,5672.542,132.02599999999998,161.928,32034.703999999998
University of Abertay Dundee,21.39,94.723,583.123,1036.0030000000002,248.35100000000003,176.79999999999998,962.0150000000001
University of Bath,78.7,2669.27,4141.700000000001,975.4300000000001,54.2,29.4,14818.78
University of Bedfordshire,24.9,522.9,1279.86,520.41,119.51999999999998,47.309999999999995,3371.46
University of Birmingham,308.35,7199.1500000000005,17037.755,5885.990000000001,331.02500000000003,381.08000000000004,45834.355
University of Bolton,5.3,22.26,132.5,331.25,43.99,0,221.54000000000002
University of Bradford,44,1245.2,2631.2,497.20000000000005,0,26.4,7612
University of Brighton,22.5,297,1336.5,553.5,20.25,42.75,2524.5
University of Bristol,342.67,7535.888,17994.13,8033.9000000000005,413.994,289.088,48137.682
University of Cambridge,554.3,21386.389,25498.464,7667.314,355.728,522.105,111044.01999999999
University of Central Lancashire,67.16,579.2919999999999,3083.6240000000003,2493.6160000000004,455.39200000000005,104.07600000000001,5400.7919999999995
University of Chester,36.4,52.1,1379.68,1473.36,686.56,48.300000000000004,1588.0800000000002
University of Chichester,6,0,284.4,283.79999999999995,31.799999999999997,0,284.4
University of Cumbria,3,NA,NA,NA,NA,NA,NA
University of Derby,26.4,54.72,539.76,1455.6,537.12,52.800000000000004,758.64
University of Dundee,176.2,4705.45,9362.27,3140.85,329.94,81.49,28184.07
University of Durham,63.7,980.2,3250.91,1932.3200000000002,50.7,155.87,7171.71
University of East Anglia,125.2,3725.3,6531.16,2106.1,157.44,0,21432.36
University of East London,29.4,463.16,1614.7200000000003,862.12,0,0,3467.3600000000006
University of Edinburgh,556.53,15269.46,28400.341,10762.492,660.018,560.6890000000001,89478.181
University of Essex,44,929.7,2363.2,1047.3,59.800000000000004,0,6082
University of Exeter,136.23,3763.671,7162.793,2420.898,80.51,195.12800000000001,22217.477
University of Glasgow,372.96000000000004,8328.992,19987.658,8506.506,219.81400000000002,253.03000000000003,53303.626000000004
University of Greenwich,46.6,390.25,1890.7,2126.3,166.85,85.9,3451.7
University of Hertfordshire,56.099999999999994,754.3,2779.48,1754.14,274.53,47.55,5796.68
University of Huddersfield,23.2,244.88,904.8399999999999,980.48,109.2,80.60000000000001,1884.36
University of Hull,56.099999999999994,858.1299999999999,3167.9999999999995,1505.04,23.980000000000004,54.85,6600.519999999999
University of Kent,73.63,1668.69,3934.939,1572.902,112.64200000000001,73.82700000000001,10609.699
University of Leeds,284.15,5535.55,16119.855,6124.775,350.63,284.19,38262.055
University of Leicester,168.1,4189.42,8650.63,3432.39,193.95000000000002,343.60999999999996,25408.309999999998
University of Lincoln,46.2,1097.4599999999998,2396.6400000000003,973.58,121.60000000000001,30.72,6786.48
University of Liverpool,280.44,5334.902,14571.637999999999,7464.036,463.42400000000004,210,35911.246
University of Manchester,494.41,12110.211000000001,25182.893,10856.11,790.614,501.172,73623.73700000001
University of Northampton,21.4,99.16000000000001,376.66,1005.96,395.96000000000004,262.26,773.3000000000001
University of Northumbria at Newcastle,63.5,1005.97,2988.5200000000004,2145.1400000000003,179.49,30.880000000000003,7012.4000000000005
University of Nottingham,474.13,9082.036,25496.873,11184.568000000001,938.904,710.619,61825.017
University of Oxford,608.31,23278.505,31029.111,6250.618,129.661,143.105,124143.13100000001
University of Plymouth,104.65,2128.015,5044.41,2979.36,204.98499999999999,108.22999999999999,13556.47
University of Portsmouth,52,799.16,2562.4199999999996,1537.89,248.48000000000002,52.05,5759.0599999999995
University of Reading,156.95,3207.77,8206.025,3897.4550000000004,256.365,127.38499999999999,21037.105
University of Salford,66.3,512.8299999999999,2813.47,2960.3,171.54999999999998,171.85,4864.789999999999
University of Sheffield,315.48,7766.696,16991.154,5946.065,766.481,77.604,48057.937999999995
University of South Wales,16.6,215.35999999999999,369.5,891.14,184,0,1230.94
University of Southampton,256.39,5325.630999999999,12672.208999999999,6685.659000000001,453.63599999999997,501.86499999999995,33974.73299999999
University of St Andrews,96.65,2618.705,4659.94,2214.035,142.04999999999998,30.27,15134.759999999998
University of Stirling,66.4,1646.88,3936,928.44,128.68,0,10523.52
University of Strathclyde,86.3,1637.51,4921.35,1782.98,146.99,141.17,11471.39
University of Sunderland,24.6,248.46,939.7200000000001,1107,164.82000000000002,0,1933.5600000000002
University of Surrey,84.6,2775.4399999999996,4630.52,931.74,60,62.3,15732.279999999999
University of Sussex,94.00999999999999,3707.337,4257.531,1107.4919999999997,85.437,243.20299999999997,19086.879
University of the Highlands and Islands,5.2,62.400000000000006,235.56,208,14.040000000000001,0,485.16
"University of the West of England, Bristol",59.3,716.3199999999999,3310.3199999999997,1800.6,102.76,0,6175.5999999999995
University of the West of Scotland,13,209.3,629.1999999999999,377,0,84.5,1466.4
University of Ulster,128.25,2245.285,7447.929999999999,2756.595,190.6,184.58999999999997,16429.07
University of Warwick,141.5,4359.627,7139.986,2471.904,70.77099999999999,107.712,24578.494000000002
University of Westminster,37.3,613.58,1828.3300000000002,1020.05,134.12,133.92000000000002,4282.6500000000005
University of Winchester,8.5,23.799999999999997,259.25,402.04999999999995,164.89999999999998,0,354.45
University of Wolverhampton,31.3,525.84,1627.6000000000001,901.44,25.040000000000003,50.080000000000005,3730.96
University of Worcester,34.3,183.31,1072.17,1295.94,693.9100000000001,184.67000000000002,1805.41
University of York,122.00999999999999,3411.228,6509.073,2174.967,79.11,26.621999999999996,20153.985
Writtle College,8.8,0,266.64000000000004,400.40000000000003,159.28000000000003,53.68,266.64000000000004
York St John University,10.5,61.9,371.25,450.45,140,26.4,618.85
